batch_id,inventory_date,product_name,brand,unit,packaging_type,sales_channel,production_date,expiration_date,quantity_received,quantity_sold,quantity_in_stock,expected_stock,stock_discrepancy,minimum_stock_threshold,reorder_quantity,days_until_expiration,stock_status,expiration_status
BAT-000001,2021-12-01,Milk,Amul,liters,Tetra Pack,Wholesale,2021-10-03,2021-10-25,687.48,558,129,129.48,-0.48,43.17,181.1,-37,Sufficient,Expired
BAT-000004,2022-04-28,Milk,Raj,liters,Polythene Packet,Retail,2022-04-12,2022-04-13,652.4,389,263,263.4,-0.4,45.01,121.01,-15,Sufficient,Expired
BAT-000005,2019-10-23,Milk,Sudha,liters,Polythene Packet,Retail,2019-10-11,2019-10-13,865.01,302,563,563.01,-0.01,70.1,170.61,-10,Sufficient,Expired
BAT-000006,2020-05-03,Milk,Raj,liters,Polythene Packet,Online,2020-03-25,2020-03-26,834.13,406,428,428.13,-0.13,58.16,128.69,-38,Sufficient,Expired
BAT-000009,2020-05-11,Milk,Sudha,liters,Polythene Packet,Retail,2020-05-10,2020-05-11,373.21,166,207,207.21,-0.21,26.68,44.52,0,Sufficient,Urgent
BAT-000012,2022-11-23,Milk,Sudha,liters,Tetra Pack,Retail,2022-11-20,2022-12-19,280.1,163,117,117.1,-0.1,39.3,119.41,26,Sufficient,Safe
BAT-000013,2019-11-23,Milk,Sudha,liters,Tetra Pack,Wholesale,2019-10-28,2019-11-25,229.17,159,70,70.17,-0.17,28.29,22.58,2,Sufficient,Urgent
BAT-000014,2022-04-21,Milk,Raj,liters,Polythene Packet,Wholesale,2022-03-05,2022-03-06,105.47,50,55,55.47,-0.47,79.2,64.33,-46,Low Stock,Expired
BAT-000016,2019-01-26,Milk,Mother Dairy,liters,Tetra Pack,Online,2018-12-11,2019-01-08,86.33,84,2,2.33,-0.33,32.22,91.81,-18,Low Stock,Expired
BAT-000020,2022-01-05,Milk,Sudha,liters,Tetra Pack,Wholesale,2022-01-02,2022-01-23,234.32,190,44,44.32,-0.32,33.15,99.45,18,Sufficient,Safe
BAT-000021,2019-06-21,Milk,Raj,liters,Polythene Packet,Wholesale,2019-05-30,2019-05-31,62.47,48,14,14.47,-0.47,60.09,140.31,-21,Low Stock,Expired
BAT-000022,2019-12-18,Milk,Amul,liters,Polythene Packet,Online,2019-11-21,2019-11-22,313.25,73,240,240.25,-0.25,37.04,97.71,-26,Sufficient,Expired
BAT-000023,2022-11-21,Milk,Mother Dairy,liters,Polythene Packet,Wholesale,2022-11-18,2022-11-20,448.09,329,119,119.09,-0.09,83.63,87.78,-1,Sufficient,Expired
BAT-000024,2022-01-26,Milk,Sudha,liters,Tetra Pack,Online,2021-12-28,2022-01-19,833.04,280,553,553.04,-0.04,22.61,24.8,-7,Sufficient,Expired
BAT-000025,2019-08-10,Milk,Sudha,liters,Polythene Packet,Retail,2019-06-21,2019-06-22,513.42,297,216,216.42,-0.42,86.13,196.86,-49,Sufficient,Expired
BAT-000027,2022-12-22,Milk,Amul,liters,Tetra Pack,Wholesale,2022-10-24,2022-11-22,362.17,284,78,78.17,-0.17,91.6,57.23,-30,Low Stock,Expired
BAT-000028,2020-02-16,Milk,Amul,liters,Tetra Pack,Wholesale,2020-02-07,2020-03-03,933.28,485,448,448.28,-0.28,82.71,174.08,16,Sufficient,Safe
BAT-000030,2019-05-15,Milk,Amul,liters,Tetra Pack,Wholesale,2019-04-20,2019-05-19,618.02,605,13,13.02,-0.02,16.88,76.01,4,Low Stock,Expiring Soon
BAT-000031,2022-09-10,Milk,Raj,liters,Tetra Pack,Retail,2022-08-22,2022-09-20,866.01,625,241,241.01,-0.01,51.26,76.41,10,Sufficient,Safe
BAT-000033,2019-07-03,Milk,Mother Dairy,liters,Polythene Packet,Online,2019-05-06,2019-05-07,820.49,299,521,521.49,-0.49,98.41,114.58,-57,Sufficient,Expired
BAT-000034,2022-06-18,Milk,Raj,liters,Tetra Pack,Retail,2022-04-23,2022-05-21,668.48,359,309,309.48,-0.48,13.47,116.52,-28,Sufficient,Expired
